,cell_line,modification,family_name,r,p_value,ci_low,ci_high
0,Caco-2,H3K4me1,Alu,-0.018999235459823866,9.413004965369895e-91,-0.020841949654996948,-0.017156392181576247
1,Caco-2,H3K4me1,L1,0.03982833079393688,2.9398891246417846e-195,0.03721248287481864,0.04244363289748278
2,Caco-2,H3K4me1,MIR,-0.026302142632410628,9.525627883969201e-82,-0.028992404790325405,-0.023611499432899682
3,Caco-2,H3K4me1,L2,-0.03896092252226914,7.972508579619128e-125,-0.04217027122919407,-0.03575076980512669
4,Caco-2,H3K4me1,ERVL-MaLR,0.04602080318406607,3.609070063313493e-120,0.042156535430486225,0.049883694094020964
5,Caco-2,H3K4me1,hAT-Charlie,0.005669015826373315,0.006600311985296236,0.0015786203614562846,0.00975922159358501
6,Caco-2,H3K4me1,ERV1,-0.06614658915587382,4.0009168620036143e-109,-0.07196676974190203,-0.06032190402689362
7,Caco-2,H3K4me1,ERVL,-0.012520343693857336,2.21988957154642e-05,-0.018304687634858253,-0.0067351616728738815
8,Caco-2,H3K4me1,TcMar-Tigger,0.036730993093686576,1.2795475329776003e-32,0.030682819910623053,0.042776476574203984
9,Caco-2,H3K4me1,hAT-Tip100,-0.01085401135120915,0.009913750548980436,-0.019101687540527046,-0.002604858053346756
10,Caco-2,H3K4me1,CR1,-0.035014924987105844,9.145174962478252e-15,-0.043858379825836014,-0.02616598322005647
11,Caco-2,H3K4me1,Gypsy,-0.021217753936061352,0.004080101039902404,-0.035687917268929795,-0.006738695751502061
12,Caco-2,H3K4me1,hAT-Blackjack,-0.014535697872609658,0.06600089678564065,-0.03002547581738257,0.000961059883592097
13,Caco-2,H3K4me1,TcMar-Mariner,0.03388093642302114,2.6993527640821745e-05,0.0180667303353655,0.04967819471050538
14,Caco-2,H3K4me1,RTE-X,-0.03471703641841632,0.0003163313533983144,-0.053578813101371844,-0.015830495129011687
15,Caco-2,H3K4me1,ERVK,0.05765837787754703,6.347530862570231e-07,0.034997519727027325,0.08025997705118736
16,Caco-2,H3K4me1,TcMar-Tc2,-0.028053712581902358,0.020002817807938694,-0.051656549183168976,-0.004419552743665276
17,Caco-2,H3K4me1,SVA,-0.07768953198448741,1.9856529065161543e-09,-0.10290280576462867,-0.05237648927995676
18,Caco-2,H3K4me1,RTE-BovB,-0.03485107914533292,0.013664854656289102,-0.06249341858464362,-0.007155312529166108
19,Caco-2,H3K4me1,tRNA-RTE,-0.04435692298344596,0.004403842474981703,-0.0747923513197729,-0.01383893228799513
20,Caco-2,H3K4me1,hAT-Ac,-0.02463888037593658,0.14786567696634087,-0.05795716274921069,0.008734228932481347
21,Caco-2,H3K4me1,hAT,-0.015790190087862907,0.385859966312259,-0.05144081418468709,0.019900626902844925
22,Caco-2,H3K4me1,MULE-MuDR,-0.005792552827940424,0.7750680502233572,-0.04549653638241886,0.033929702577876655
